"","Anker","Bose","JBL","Philips","Sony","UE","HarmanKardon","Beats","None","Observations","0","1","2","3","4","5","6","7","8","Avr"
"general_sums",74,391,354,228,327,84,78,286,43,593,44,89,105,111,112,80,29,16,7,3.07251264755481
"female_sums",13,154,131,104,143,22,14,118,22,259,22,41,56,59,43,33,3,2,0,2.6988416988417
"male_sums",60,227,215,116,171,60,61,157,21,316,22,44,45,51,62,46,26,14,6,3.37658227848101
"no_gender_sums",1,10,8,8,13,2,3,11,0,18,0,4,4,1,7,1,0,0,1,3.11111111111111
"employed_sums",20,126,111,77,115,18,27,80,19,201,19,35,35,33,44,22,8,4,1,2.85572139303483
"retired_sums",2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1
"selfemployed_sums",6,23,17,12,16,5,4,13,6,37,6,4,9,8,2,6,2,0,0,2.59459459459459
"student_sums",40,232,212,127,178,57,43,181,17,331,18,46,57,65,63,50,16,11,5,3.23262839879154
"unemployed_sums",6,10,14,12,18,4,4,12,1,22,1,2,4,5,3,2,3,1,1,3.63636363636364
"income1_sums",10,68,60,48,65,11,6,60,8,110,8,15,21,20,24,18,3,1,0,2.98181818181818
"income2_sums",23,124,133,74,105,31,27,96,11,191,11,30,29,38,36,27,11,6,3,3.20942408376963
"income3_sums",15,61,48,28,36,19,15,41,7,83,7,9,16,18,13,10,5,4,1,3.16867469879518
"income4_sums",7,31,23,11,21,5,7,19,3,41,3,7,8,8,5,6,2,1,1,3.02439024390244
"income5_sums",3,21,20,13,16,6,4,14,8,32,8,2,3,3,6,7,1,1,1,3.03125
"income6_sums",4,6,4,2,6,0,1,4,0,9,0,1,2,3,2,1,0,0,0,3
"income7_sums",9,34,31,18,28,7,12,19,1,50,1,11,8,13,5,5,3,3,1,3.16
"income8_sums",3,46,35,34,50,5,6,33,5,77,6,14,18,8,21,6,4,0,0,2.75324675324675
